,product,title,rating,body
579,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good mid range phone,5,"Writing this review after using this phone for a week. So far it feels great, value for money. My old phone was Android so migration was easy. Charging is so fast, in 15 mins it will get fully charged. Camera quality is awesome. User experience is good. Only thing is battery life. Now most of the smartphones come with 5000-6000 mah in this price but this comes with 4500 mah, need to see how is the battery durability on continues using it."
580,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Average,4,Phone is good... But worst delivery service by amazon... In this era amazon takes 7 days to deliver a Mobile phone.
581,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",It's good product.,5,Over all the product is very good for given price.
582,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good Phone,4,"All features are good.Just battery issue, its not long lasting..."
583,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Doesn't reach expectations being OnePlus,3,"Battery is draining quick... Heats soon.. No zoom in timelapse, camera is good.. can be better..Rest everything is good"
584,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",nice one,5,smooth one
585,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Charging is too fast. But I am little bit disappointed by camera and also look.,4,Charging is too fast. But I am little bit disappointed by camera and also look.
586,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",It's working according my expectations 😊,4,It's amazing phone according money.I feel better experience with Nord 2TThanks OnePlus
587,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",prise very cosle,3,na
588,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Poor battery rest ok,2,Poor battery not user friendly phone
589,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Camera awesome,5,"Good camera,display good,sound good"
590,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good,5,"The media could not be loaded.
                



 Good"
591,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)","Light waight ,good photography",5,Camara is good
592,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Better phone,5,
593,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Battery issue,2,Battery backup is not good
594,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Very nice,5,I like it
595,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good product,4,Good product
596,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Mobile processor,5,As far I have used many smartphone as samsung A series this tops the lists at this price
597,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Ok...,4,Good.....
598,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Great mobile,5,Great product by Amazon
599,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)","Such a good phone and speed is great, camera is fantastic",5,"Camera , speed, UI, design everything is super. Nord 2 and Nord 2T both are great and very similar but design is different and some of the features are higher in 2T"
600,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Nice,5,I used this phone from approx 20 days. I am very happy. This phone performance  is nice .
601,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",nice deal,5,"nice deal i got 5k discount on 12GB variant, but following need to improve:1. camera2. battery consumption3. software(sometimes hangs)"
602,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Excellent,4,Overall good phone..i like it...
603,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Hanging problem,3,It's little bit hanging problem although I purchased it just 2 weeks ago.
604,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Awesome phone,4,As per my expectations it's very good phone as compare to this price values
605,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Good,5,Good
606,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",A good camera and good battery phone,4,Good phone for a daily use activity. Camera is very good and the battery life is preety decent.
607,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",It's amazing. I got what I wanted,5,I love the phone's quality. We can feel those premiums after holding the phone. The quality of the camera is good and the battery charged quickly.
